sex;age_cat;race;juv_fel_count;juv_misd_count;juv_other_count;priors_count;c_charge_degree;score_text;v_score_text;event
Male;notAdult;notWhite;0;0;0;zero;F3;Low;Low;0
Male;notAdult;notWhite;0;0;0;zero;F3;Low;Low;0
Male;adult;notWhite;0;0;0;zero;F3;Low;Low;1
Male;notAdult;notWhite;0;0;1;low;F3;Low;Low;0
Male;notAdult;notWhite;0;0;1;low;F3;Low;Low;1
Male;notAdult;notWhite;0;1;0;low;F3;High;Medium;0
Male;adult;notWhite;0;0;0;low;F7;Low;Low;0
Male;adult;notWhite;0;0;0;zero;M1;Low;Low;0
Male;adult;White;0;0;0;high;F3;Medium;Low;1
Male;adult;notWhite;0;0;0;low;F3;Low;Low;0
Male;adult;notWhite;0;0;0;low;F3;Low;Low;0
Male;adult;notWhite;0;0;0;low;F3;Low;Low;0
Female;adult;White;0;0;0;zero;M1;Low;Low;0
Male;notAdult;White;0;0;1;zero;F3;High;High;0
Male;notAdult;White;0;0;1;zero;F3;High;High;0
Male;notAdult;White;0;0;1;zero;F3;High;High;0
Female;adult;White;0;0;0;zero;F3;Medium;Low;0
Female;adult;White;0;0;0;zero;F3;Medium;Low;0
Female;adult;White;0;0;0;zero;F3;Medium;Low;0
Male;notAdult;White;0;0;0;low;F2;Low;Medium;1
Male;adult;White;0;0;0;zero;F3;Low;Low;0
Male;notAdult;notWhite;0;0;0;low;M1;Medium;Low;1
Female;adult;White;0;0;0;zero;M1;Low;Low;0
Male;notAdult;White;0;0;0;zero;M1;Low;Medium;0
Male;adult;notWhite;0;0;0;zero;F3;Low;Low;0
Female;notAdult;White;0;0;0;low;F3;Low;Low;1
Male;adult;notWhite;0;0;0;high;F3;Low;Low;1
Male;adult;notWhite;0;0;0;zero;M1;Low;Low;0
Male;adult;notWhite;0;0;0;low;F3;High;High;0
Male;adult;notWhite;0;0;0;low;F3;High;High;0
Male;adult;White;0;0;0;high;F3;Medium;Low;1
Male;adult;White;0;0;0;high;F3;Low;Low;1
Male;notAdult;notWhite;0;0;0;high;F3;Medium;Low;1
Male;notAdult;notWhite;0;0;0;low;F3;High;High;1
Male;adult;White;0;0;0;zero;M1;Low;Low;1
Female;notAdult;White;0;0;0;zero;F3;Low;Medium;0
