"StatusAcount1","Duration2","Credithistory3","Purpose4","Creditamount5","Savings6","employment7","Installment8","sex9","debtors10","residence11","Property12","Age13","installment14","Housing15","existingcredits16","Job17","peoplemaintenance18","Telephone19","foreign20","classlabel21"
A11,6,A34,television,1169,A65,A75,4,male,none,4,realState,67,none,own,2,skilled,1,yes,yes,1
A12,48,A32,television,5951,A61,A73,2,female,none,2,realState,22,none,own,1,skilled,1,none,yes,2
A14,12,A34,education,2096,A61,A74,2,male,none,3,realState,49,none,own,1,unskilled,2,none,yes,1
A11,42,A32,furniture,7882,A61,A74,2,male,guarantor,4,lifeInsurance,45,none,free,1,skilled,2,none,yes,1
A11,24,A33,newCar,4870,A61,A73,3,male,none,4,unknown,53,none,free,2,skilled,2,none,yes,2
A14,36,A32,education,9055,A65,A73,2,male,none,4,unknown,35,none,free,1,unskilled,2,yes,yes,1
A14,24,A32,furniture,2835,A63,A75,3,male,none,4,lifeInsurance,53,none,own,1,skilled,1,none,yes,1
A12,36,A32,oldCar,6948,A61,A73,2,male,none,2,car,35,none,rent,1,management,1,yes,yes,1
A14,12,A32,television,3059,A64,A74,2,male,none,4,realState,61,none,own,1,unskilled,1,none,yes,1
A12,30,A34,newCar,5234,A61,A71,4,male,none,2,car,28,none,own,2,management,1,none,yes,2
A12,12,A32,newCar,1295,A61,A72,3,female,none,1,car,25,none,rent,1,skilled,1,none,yes,2
A11,48,A32,A49,4308,A61,A72,3,female,none,4,lifeInsurance,24,none,rent,1,skilled,1,none,yes,2
A12,12,A32,television,1567,A61,A73,1,female,none,1,car,22,none,own,1,skilled,1,yes,yes,1
A11,24,A34,newCar,1199,A61,A75,4,male,none,4,car,60,none,own,2,unskilled,1,none,yes,2
A11,15,A32,newCar,1403,A61,A73,2,female,none,4,car,28,none,rent,1,skilled,1,none,yes,1
A11,24,A32,television,1282,A62,A73,4,female,none,2,car,32,none,own,1,unskilled,1,none,yes,2
A14,24,A34,television,2424,A65,A75,4,male,none,4,lifeInsurance,53,none,own,2,skilled,1,none,yes,1
A11,30,A30,A49,8072,A65,A72,2,male,none,3,car,25,bank,own,3,skilled,1,none,yes,1
A12,24,A32,oldCar,12579,A61,A75,4,female,none,2,unknown,44,none,free,1,management,1,yes,yes,2
A14,24,A32,television,3430,A63,A75,3,male,none,2,car,31,none,own,1,skilled,2,yes,yes,1
A14,9,A34,newCar,2134,A61,A73,4,male,none,4,car,48,none,own,3,skilled,1,yes,yes,1
A11,6,A32,television,2647,A63,A73,2,male,none,3,realState,44,none,rent,1,skilled,2,none,yes,1
A11,10,A34,newCar,2241,A61,A72,1,male,none,3,realState,48,none,rent,2,unskilled,2,none,no,1
A12,12,A34,oldCar,1804,A62,A72,3,male,none,4,lifeInsurance,44,none,own,1,skilled,1,none,yes,1
A14,10,A34,furniture,2069,A65,A73,2,male,none,1,car,26,none,own,2,skilled,1,none,no,1
A11,6,A32,furniture,1374,A61,A73,1,male,none,2,realState,36,bank,own,1,unskilled,1,yes,yes,1
A14,6,A30,television,426,A61,A75,4,male,none,4,car,39,none,own,1,unskilled,1,none,yes,1
A13,12,A31,television,409,A64,A73,3,female,none,3,realState,42,none,rent,2,skilled,1,none,yes,1
A12,7,A32,television,2415,A61,A73,3,male,guarantor,2,realState,34,none,own,1,skilled,1,none,yes,1
A11,60,A33,A49,6836,A61,A75,3,male,none,4,unknown,63,none,own,2,skilled,1,yes,yes,2
A12,18,A32,A49,1913,A64,A72,3,male,none,3,realState,36,bank,own,1,skilled,1,yes,yes,1
A11,24,A32,furniture,4020,A61,A73,2,male,none,2,car,27,stores,own,1,skilled,1,none,yes,1
A12,18,A32,newCar,5866,A62,A73,2,male,none,2,car,30,none,own,2,skilled,1,yes,yes,1
A14,12,A34,A49,1264,A65,A75,4,male,none,4,unknown,57,none,rent,1,unskilled,1,none,yes,1
A13,12,A32,furniture,1474,A61,A72,4,female,none,1,lifeInsurance,33,bank,own,1,management,1,yes,yes,1
A12,45,A34,television,4746,A61,A72,4,male,none,2,lifeInsurance,25,none,own,2,unskilled,1,none,yes,2
A14,48,A34,education,6110,A61,A73,1,male,none,3,unknown,31,bank,free,1,skilled,1,yes,yes,1
A13,18,A32,television,2100,A61,A73,4,male,coApplicant,2,realState,37,stores,own,1,skilled,1,none,yes,2
A13,10,A32,domestic,1225,A61,A73,2,male,none,2,car,37,none,own,1,skilled,1,yes,yes,1
A12,9,A32,television,458,A61,A73,4,male,none,3,realState,24,none,own,1,skilled,1,none,yes,1
A14,30,A32,television,2333,A63,A75,4,male,none,2,car,30,bank,own,1,management,1,none,yes,1
A12,12,A32,television,1158,A63,A73,3,male,none,1,car,26,none,own,1,skilled,1,yes,yes,1
A12,18,A33,repairs,6204,A61,A73,2,male,none,4,realState,44,none,own,1,unskilled,2,yes,yes,1
A11,30,A34,oldCar,6187,A62,A74,1,male,none,4,car,24,none,rent,2,skilled,1,none,yes,1
A11,48,A34,oldCar,6143,A61,A75,4,female,none,4,unknown,58,stores,free,2,unskilled,1,none,yes,2
